48,14
42,17
31,12
17,13
52,0
58,14
35,28
35,0
35,3
41,14
34,13
40,7
52,7
31,17
44,17
41,17
40,14
38,14
41,6
21,19
34,0
28,12
41,13
36,28
62,6
35,7
56,27
40,22
41,13
43,0
38,17
27,22
66,10
27,17
30,10
31,13
46,3
45,21
56,10
27,24
12,6
27,24
41,7
21,20
59,3
52,7
48,21
25,23
39,13
41,13
14,7
45,22
31,14
35,10
42,35
41,17
30,20
28,16
35,27
26,3
34,28
38,0
44,12
47,7
42,21
42,26
17,0
22,14
57,2
34,0
52,10
49,24
56,7
28,24
31,27
41,24
31,7
47,24
62,14
55,3
21,14
34,13
21,7
28,10
49,10
49,6
30,14
20,7
51,21
56,19
54,7
38,21
40,10
18,14
45,6
21,0
34,10
13,10
38,31
49,7
52,0
34,14
52,42
45,13
49,13
29,27
27,17
70,0
44,10
30,13
17,13
27,2
33,22
31,12
38,17
24,7
27,24
21,0
35,28
35,27
24,17
14,13
35,23
26,14
51,14
47,21
19,16
16,6
12,9
42,10
45,10
42,10
42,0
27,13
35,12
19,0
45,42
28,10
21,17
27,13
21,10
20,6
39,36
27,19
24,7
38,28
49,0
31,17
32,21
30,20
28,27
56,17
52,26
45,14
30,28
23,20
51,10
42,28
45,17
56,7
23,3
31,24
66,24
21,13
16,0
28,7
49,34
24,3
42,27
17,7
53,0
24,13
28,22
56,0
69,0
38,3
21,16
34,24
27,16
47,6
56,7
34,20
48,42
37,13
16,0
31,12
28,6
14,8
42,3
41,23
21,9
68,10
66,3
52,3
20,6
31,24
45,18
48,28
37,31
45,3
24,20
51,6
34,10
83,10
24,21
34,0
44,27
24,14
28,27
50,14
62,0
40,7
67,7
34,32
29,26
29,0
56,37
56,26
63,0
69,10
29,0
42,17
26,3
42,35
38,10
52,27
47,36
42,21
38,10
35,19
30,28
41,16
41,17
42,13
36,17
12,7
23,19
87,21
44,12
29,27
37,34
37,15
45,17
31,28
35,27
20,17
17,0
35,23
41,31
51,43
27,9
30,28
41,17
51,43
33,7
17,5
35,3
69,17
33,14
52,0
41,24
31,28
23,20
26,7
17,14
30,22
31,14
45,28
20,7
57,13
42,21
45,7
31,28
24,3
34,10
28,24
38,27
45,14
31,19
16,13
46,10
32,26
55,13
59,0
52,38
20,17
14,7
35,17
46,7
49,7
27,21
28,19
38,0
45,7
51,28
27,16
48,20
34,27
28,13
16,8
66,12
38,27
19,16
16,13
24,6
3,2
41,7
43,7
42,23
20,14
34,10
38,7
38,21
17,16
41,17
27,24
31,15
36,0
38,3
22,16
20,16
31,30
24,22
49,7
41,18
65,0
52,17
40,29
45,10
55,14
35,3
41,3
58,10
35,10
20,7
36,28
44,7
38,24
23,20
13,10
